c,alpha,beta,E0_meV,E1_meV,E2_meV,E3_meV,split01_meV,gap02_meV,d2_A2,d_rms_A,hw_eff_meV,mass
4.715,1.451628577673885,0.47046972308083956,20.97965231322211,63.08178514465723,105.46685452410975,148.1295487943211,42.10213283143512,84.48720221088765,0.007151692900563619,0.08456768236485862,42.10524159390723,Li
4.771,1.2886306584089573,0.543979158579284,19.7926218554614,59.562862566823405,99.69834494027047,140.1898649214688,39.77024071136199,79.90572308480905,0.007571030206050737,0.08701166706856464,39.77315493246949,Li
4.826,1.127582800917828,0.6130692920663507,18.5473225318015,55.878221189472846,93.67351400345001,131.91765504785369,37.33089865767135,75.12619147164851,0.00806573486352143,0.0898094363834972,37.33370393137301,Li
4.882,0.9695368291099798,0.6786392183928032,17.241136231422352,52.023783366126914,87.3933962624096,123.32393091451624,34.782647134704554,70.15226003098724,0.008656590266402475,0.09304079893467422,34.78549268438507,Li
4.937,0.8196557325373124,0.7222418845058072,15.903702836563186,48.083080428794936,80.984096273089,114.56530420785562,32.17937759223175,65.0803934365258,0.009356767027501382,0.0967303831663112,32.182457519632614,Li
4.993,0.669625756700353,0.7849921098397391,14.454061067096253,43.84349487365004,74.15611408001813,105.32048136754898,29.389433806553786,59.70205301292188,0.010244640975916179,0.10121581386283558,29.393295293760435,Li
5.049,0.5245272045917143,0.824231136976835,12.901968863672199,39.32475730878164,66.9161519313118,95.55509118343853,26.422788445109443,54.01418306763959,0.011394007982711198,0.10674271864024823,26.42825578502097,Li
5.104,0.387414502878101,0.8618557050380182,11.258731144277858,34.592497633041816,59.432102050650606,85.56559102702322,23.333766488763956,48.173370906372746,0.012900110822431282,0.113578654783508,23.342726394261284,Li
5.16,0.25554890836696564,0.8871224058628976,9.440342453982273,29.434244340758102,51.40812300363385,74.97666534861571,19.993901886775827,41.96778054965157,0.015048165611110284,0.12267096482505664,20.01066210763511,Li
5.215,0.32014350617546816,0.403604516279029,10.086294580895792,30.75387062654746,52.3551231590881,74.79164444532174,20.667576045651668,42.268828578192306,0.014566888204043652,0.12069336437453242,20.6717971035209,Li
5.293,0.1649570884704631,0.4215310040772115,7.545057202596038,23.472173942742373,40.89569109618246,59.535410422669536,15.927116740146335,33.350633893586426,0.01889215149908361,0.13744872316279846,15.939092876651381,Li
5.371,0.007065678861946693,0.44132880305504346,3.8482939567587984,13.550918528158126,26.270436147430036,40.793041715079966,9.702624571399328,22.422142190671234,0.030809570457764068,0.1755265520021517,9.77370839351571,Li
5.449,-0.14291317157464115,0.46237008773579996,-4.043510175395782,-1.7405516957435403,8.822270022665235,18.954285431580445,2.3029584796522418,12.865780198061016,0.09886996717423775,0.3144359508297958,3.045654469096711,Li
5.526,-0.2816952346972127,0.4748711570050513,-29.333035192699217,-29.297543791783927,-8.200550656834233,-6.517318777483307,0.035491400915292626,21.132484535864986,0.2703643034168217,0.5199656752294537,1.1137703963803929,Li
5.604,-0.409251354638892,0.4823148767606879,-71.49019195296394,-71.49006971908553,-42.547227975420185,-42.53161136996561,0.0001222338784079291,28.942963977543755,0.404071251877156,0.6356659908136946,0.7452244028367767,Li
5.682,-0.5249502113732447,0.483785722154752,-124.91207699901524,-124.91207676936514,-91.17178148245448,-91.17173364628414,2.296501044884991e-07,33.74029551656077,0.5250272849449782,0.7245876654656621,0.5735392540888984,Li
5.76,-0.6287227432403455,0.48030144322393836,-186.53019039061792,-186.53019039029923,-149.08655942197075,-149.0865593308631,3.186895192186512e-10,37.44363096864717,0.638641307221647,0.7991503658396504,0.47150685992059427,Li
5.837,-0.7197831155545368,0.47071085079912445,-254.5437217549734,-254.5437217549734,-214.14759521847137,-214.14759521833017,0.0,40.39612653650204,0.7498185660441413,0.8659206465052911,0.4015954939237066,Li
5.915,-0.802042734545611,0.46174610708194846,-326.4816575271045,-326.4816575271045,-283.612036137131,-283.612036137131,0.0,42.869621389973524,0.8545618104530018,0.9244251243086169,0.3523721206591681,Li
4.715,1.451628577673885,0.47046972308083956,11.509623447973931,34.571855170017635,57.7195806461822,80.95186071935038,23.062231722043705,46.20995719820827,0.0039416263137937654,0.06278237263590605,23.065187546357926,Na
4.771,1.2886306584089573,0.543979158579284,10.852099810685074,32.612359412132406,54.48390291973894,76.46508853629742,21.760259601447334,43.63180310905387,0.004177489323774913,0.06463350001179662,21.762916220491867,Na
4.826,1.127582800917828,0.6130692920663507,10.161369623775343,30.556183158288132,51.09370225618136,71.7711115143361,20.39481353451279,40.932332632406016,0.004457199709562659,0.06676226261566229,20.397190184290213,Na
4.882,0.9695368291099798,0.6786392183928032,9.435476301027144,28.398750586660928,47.54417356350422,66.8669204678517,18.963274285633783,38.10869726247708,0.004793694213447594,0.06923650925232723,18.965404574675123,Na
4.937,0.8196557325373124,0.7222418845058072,8.691338823006076,26.189293675836332,43.91367174726526,61.85656971866069,17.497954852830258,35.22233292425919,0.005195138229793696,0.0720773073150884,17.499890502224993,Na
4.993,0.669625756700353,0.7849921098397391,7.880418752044954,23.79228098317094,39.99860726613148,56.48513662751832,15.911862231125985,32.11818851408652,0.005712954892367226,0.07558409152968121,15.913717485635754,Na
5.049,0.5245272045917143,0.824231136976835,7.008994898090027,21.224486395080614,35.82097331170774,50.772754224845876,14.215491496990587,28.811978413617716,0.006394555100806079,0.07996596213893808,14.217462940283719,Na
5.104,0.387414502878101,0.8618557050380182,6.078338727403902,18.50245031490814,31.433611099112323,44.82266047463349,12.424111587504235,25.35527237170842,0.007316054418571381,0.08553393723295673,12.426691350809506,Na
5.16,0.25554890836696564,0.8871224058628976,5.034779938040629,15.48532032871697,26.636656566101763,38.38707303180942,10.450540390676343,21.601876628061138,0.00869574470418622,0.09325097696102824,10.455039017135077,Na
5.215,0.32014350617546816,0.403604516279029,5.477886223695619,16.59185685040403,28.010770988643532,39.71365310934864,11.113970626708412,22.532884764947912,0.008179169258731422,0.09043875971468993,11.115352585259172,Na
5.293,0.1649570884704631,0.4215310040772115,4.0317780213102345,12.379982941443647,21.254168551992205,30.581670855066548,8.348204920133412,17.22239053068197,0.010886201967943767,0.10433696357448671,8.351337815798852,Na
5.371,0.007065678861946693,0.44132880305504346,1.7795931019065516,6.218897750384422,11.99092074845775,18.5696304931196,4.43930464847787,10.211327646551197,0.020339637289320388,0.14261710026963942,4.4698117705888745,Na
5.449,-0.14291317157464115,0.46237008773579996,-6.379831729030291,-6.212422546169556,0.3617563368313642,2.983354051600344,0.16740918286073467,6.741588065861655,0.12944182456357045,0.3597802448211553,0.7023568345999598,Na
5.526,-0.2816952346972127,0.4748711570050513,-34.780532939724445,-34.780507607539086,-21.516271437628973,-21.51278030328363,2.533218536326931e-05,13.264261502095476,0.28327436000182216,0.5322352487404627,0.3209409780847368,Na
5.604,-0.409251354638892,0.4823148767606879,-78.29817125853201,-78.29817125799686,-61.73480234507125,-61.73480220046844,5.351552534449411e-10,16.56336891346076,0.41343664259618246,0.6429903907494905,0.21989911100867704,Na
5.682,-0.5249502113732447,0.483785722154752,-132.72015595766558,-132.72015595766558,-113.70760860004933,-113.70760860004933,0.0,19.01254735761626,0.5330712127691237,0.7301172596022667,0.17054822693021354,Na
