c_A,alpha,beta,q_e_per_cell,n_cm2,hw_eff_meV,hw02_meV,split01_meV,d2_A2,chi_eV_A2,lambda,lambda_task,Tc_K,lambda_g1,Tc_K_g1,lambda_g2,Tc_K_g2
5.55,1.2831724286986994,0.8307502158569008,0.0,0.0,21.776932237116096,43.717820964579424,21.774207515068746,0.0041748006181678956,5.896753834503423,0.004997879587841523,0.020145583766206846,0.0,0.0011999908890407498,0.0,0.019199854224651997,0.0
5.569874476987447,1.2256905965384297,0.8290593490697621,0.0,0.0,21.29508642720569,42.761637354304035,21.292463326669434,0.004269264202147796,5.903662601381781,0.0053546032659813145,0.021594780652059067,0.0,0.0012856402441621128,0.0,0.020570243906593805,0.0
5.589748953974895,1.16820876437816,0.8273684822826234,0.0,0.0,20.802349378974768,41.78433413717148,20.799825773891538,0.004370388580109182,5.910578946296167,0.005754284958860603,0.023220247586237454,0.0,0.0013816038186224304,0.0,0.022105661097958886,0.0
5.609623430962343,1.1107269322178877,0.8256776154954846,0.0,0.0,20.29796086998475,40.784485370900185,20.295534165020122,0.0044789893303888795,5.9175028732970505,0.006204447378597669,0.025053227476244635,0.0,0.0014896878156012985,0.0,0.023835005049620776,0.0
5.629497907949791,1.0532451000576177,0.8239867487083459,0.0,0.0,19.781069351691556,39.760501100015276,19.778736348331268,0.004596028078610331,5.92443438641385,0.006714382139981212,0.02713241498253331,0.0,0.0016121231518094882,0.0,0.02579397042895181,0.0
5.649372384937238,0.995763267897348,0.8222958819212072,0.0,0.0,19.250716058589653,38.710600351101995,19.24847277379755,0.004722647712875426,5.931373489654574,0.007295682416971728,0.02950623778715876,0.0,0.0017516933483149107,0.0,0.02802709357303857,0.0
5.669246861924686,0.9377214999134613,0.8228704865438715,0.0,0.0,18.701065147490738,37.62399706845335,18.698906011463905,0.0048614530481709654,5.938320187005852,0.007968711023818586,0.03226057851997139,0.0,0.0019132875168188413,0.0,0.03061260026910146,0.0
5.689121338912134,0.8796614731527148,0.823518965234247,0.0,0.0,18.135226370345155,36.5065164749615,18.133144437047953,0.00501313566804859,5.945274482432746,0.008748438426000689,0.0354583756505692,0.0,0.0021005000660827646,0.0,0.033608001057324234,0.0
5.7089958158995815,0.821601446391971,0.8241674439246224,0.0,0.0,17.551901498405165,35.35581410503692,17.549887758036572,0.00517974364051516,5.952236379878646,0.009659537157378622,0.039204126379059914,0.0,0.0023192548714866083,0.0,0.03710807794378573,0.0
5.728870292887029,0.7635414196312271,0.8248159226149978,0.0,0.0,16.949414752049897,34.168883364812466,16.94745731306641,0.005363863678792643,5.959205883265093,0.010734723383684747,0.04363717412821904,0.0,0.002577407084422709,0.0,0.041238513350763346,0.0
5.7487447698744765,0.7054813928704833,0.8254644013053732,0.0,0.0,16.32581263203124,32.942257138188964,16.323895519600853,0.005568748840528693,5.966182996491715,0.012017845123014813,0.0489454894767546,0.0,0.0028854846140358567,0.0,0.04616775382457371,0.0
5.768619246861925,0.6521901518060567,0.8244258926267192,0.0,0.0,15.732253851856733,31.77617031890812,15.73035670491766,0.005778850953042744,5.973167723436,0.013434199725213933,0.054825240132817414,0.0,0.0032255513540238646,0.0,0.05160882166438183,0.0
5.788493723849372,0.5992204019121711,0.8232736544625125,0.0,0.0,15.120514423329654,30.576629139475926,15.11861320959972,0.006012649280307529,5.980160067953315,0.015130442385176376,0.06189703937669887,0.0,0.00363281921668085,0.0,0.0581251074668936,0.0
5.80836820083682,0.5462506520182854,0.8221214162983059,0.0,0.0,14.484661193371066,29.33264103534819,14.482722639430019,0.006276594871747487,5.987160033876608,0.01720161868349673,0.07057658976007461,0.0,0.004130108645907561,0.0,0.06608173833452098,0.0
5.828242677824267,0.4932809021243998,0.8209691781340993,0.0,0.0,13.821757489003536,28.039281623985577,13.819734286456697,0.006577625908835637,5.994167625016376,0.01977208598445892,0.08141640478420333,0.0,0.0047472778448685886,0.0,0.07595644551789742,0.0
5.848117154811716,0.44031115223051176,0.8198169399698927,0.0,0.0,13.128252167165128,26.69073124807614,13.12607514094425,0.006925091703577812,6.001182845160494,0.02302351485777533,0.09523507929179598,0.0,0.0055279459173518545,0.0,0.08844713467762967,0.0
5.867991631799163,0.4014436687342202,0.8098980453773897,0.0,0.0,12.592127793458909,25.6470710531295,12.589802356161842,0.007219935475284718,6.008205698074139,0.026054328355350598,0.10817730994621515,0.0,0.006255644238119683,0.0,0.10009030780991493,0.0
5.887866108786611,0.36405200381442065,0.7990617099958794,0.0,0.0,12.055031272246547,24.603980896378147,12.052505259690111,0.007541610478822928,6.015236187499562,0.02963567571856935,0.12357889416703015,0.0,0.0071155257400284996,0.0,0.11384841184045599,0.0
5.907740585774058,0.32666033889462104,0.7882253746143691,0.0,0.0,11.495274898887915,23.520689132755667,11.492464190597602,0.00790884523989139,6.022274317155993,0.03407906579397189,0.14285878198019658,0.0,0.008182383697132655,0.0,0.13091813915412248,0.0
5.9276150627615065,0.2892686739748198,0.7773890392328583,0.0,0.0,10.909977436354662,22.392751354852678,10.906761507662287,0.008333138239348161,6.029320090739581,0.039695687849048755,0.1674977910231579,0.0,0.009530934652556614,0.0,0.15249495444090583,0.0
5.947489539748954,0.2518770090550202,0.766552703851348,0.0,0.0,10.29564904544226,21.214974921872866,10.291849980939466,0.008830366086104999,6.03637351192314,0.046952733253875514,0.1997721661892248,0.0,0.011273351254255508,0.0,0.18037362006808813,0.0
5.9673640167364015,0.2104038282519545,0.7612765986496705,0.0,0.0,9.58149148898921,19.86037074537701,9.576666639261076,0.009488538425336908,6.043434584356049,0.05765918226052201,0.24843470033986562,0.0,0.013843969660751326,0.0,0.22150351457202122,0.0
5.987238493723849,0.16834054876697074,0.7568043821486918,0.0,0.0,8.810688294259771,18.41335584217673,8.80420240589495,0.010318643348731792,6.050503311664228,0.07302464372770989,0.32025613243053774,0.0,0.01753321695902314,0.0,0.28053147134437023,0.0
6.007112970711297,0.1262772692819851,0.7523321656477129,0.0003565921037201568,482962694008.0001,7.983638138411124,16.880872828284193,7.9743895336090995,0.011387584029880157,6.057579697449809,0.09590875829060913,0.4314591668720054,0.0,0.02302769286557524,0.0,0.3684430858492038,0.5027034220834666
6.026987447698745,0.08421398979700134,0.7478599491467343,0.000768353348219897,1040645597967.492,7.089570197451149,15.252978367252997,7.075461446711001,0.01282367585527234,6.064663745291099,0.13210668732947525,0.6175863539651926,6.159440989220647e-20,0.031718815627806984,0.0,0.5075010500449118,2.3240090441922105
6.046861924686192,0.042150710312017586,0.7433877326457555,0.0011801145927196372,1598328501926.984,6.115986960528108,13.522474061916164,6.092711022861066,0.014865033354724864,6.0717554587425235,0.19393220648223933,0.9642127079539294,3.425970181690429e-05,0.04656312277638565,0.0,0.7450099644221704,6.523415217524678
