element,cell,c,mass,E0_meV,E1_meV,E2_meV,split01_meV,gap02_meV,d2_A2,d_rms_A,d2_02_A2,hw_eff_meV
Li,1x1,5.5,Li,1.1816213921592904,9.634962641125625,25.295786761653577,8.453341248966336,24.114165369494287,0.03415293764928062,0.18480513426114714,0.03932512596934345,8.816921123328468
Li,1x1,6.9,Li,-803.1871949584331,-803.1871949584331,-748.6066429725183,0.0,54.58055198591482,1.6383248093157488,1.2799706283019734,0.18823394563181794,0.1837997909031406
Li,1x1,8.4,Li,-1554.040548634415,-1554.040548634415,-1500.5474466750654,0.0,53.493101959349644,4.74383675834814,2.17803506820899,0.3251600487402653,0.06347683799484644
Li,1x1,9.9,Li,-1273.7676957499327,-1273.7676957499327,-1233.8825348083415,0.0,39.88516094159111,8.155440775917523,2.8557732360811707,0.49407134801129815,0.03692305120685333
Na,1x1,5.5,Li,27.422206490287696,82.7199972622064,138.90478890827063,55.2977907719187,111.48258241798293,0.00544522926084332,0.07379179670426328,0.007669482118909766,55.300473673173926
Na,1x1,5.5,Na,15.010491453974016,45.17093583563725,75.60675336465658,30.160444381663233,60.59626191068257,0.0030141890229442767,0.05490163042154829,0.00425290820926644,30.162126354141854
Na,1x1,6.9,Li,-102.36549574525874,-102.36549116098062,-69.58925530035168,4.584278123775931e-06,32.77624044490707,0.4545496805145421,0.674202996518513,0.12355491140447585,0.6624661072092177
Na,1x1,6.9,Na,-109.99368843698245,-109.99368843698245,-91.4244144378847,0.0,18.569273999097746,0.4628275783545251,0.6803143232025364,0.09310556299066136,0.1964324392434377
Na,1x1,8.4,Li,-738.3611090468024,-738.3611090468024,-699.1934487677571,0.0,39.16766027904528,3.031096505104982,1.7410044529250872,0.302897391425291,0.09934482682306842
Na,1x1,8.4,Na,-747.2499378341104,-747.2499378341104,-725.5971446723122,0.0,21.652793161798243,3.0429627327363606,1.7444089923915094,0.22508809851404066,0.029876918697442818
Na,1x1,9.9,Li,-1509.9049449744712,-1509.9049449744712,-1468.2435008498999,0.0,41.66144412457129,8.199926777650418,2.8635514274499103,0.48494247740632074,0.0367227373547286
Na,1x1,9.9,Na,-1519.3338565217216,-1519.3338565217216,-1496.3560688867765,0.0,22.977787634945066,8.21600574012991,2.8663575736690476,0.35977032621531024,0.011065516875341805
Na,s3,5.5,Li,30.466691237670975,91.72686207817654,153.631112918118,61.26017084050557,123.16442168044702,0.004915297511113681,0.07010918278737586,0.006932864894856005,61.26256990605547
Na,s3,5.5,Na,16.699474707919155,50.1981062539413,83.8944350552335,33.498631546022146,67.19496034731434,0.002713817188201079,0.05209431051661092,0.003832227207151981,33.500543279253634
Na,s3,6.9,Li,-39.882880577987,-39.87194659812803,-15.060012840563012,0.010933979858976373,24.822867737423987,0.2876833753722251,0.5363612358963175,0.10379979588927038,1.04671935593792
Na,s3,6.9,Na,-46.00884455275321,-46.008842060496086,-31.113589909992136,2.492257122899133e-06,14.895254642761078,0.2985853775952121,0.546429663904891,0.08157358803240795,0.3044835982844543
Na,s3,8.4,Li,-923.9612056786044,-923.9612056786044,-874.1492421444099,0.0,49.81196353419448,2.3177457106549606,1.5224144345922894,0.23484336436412684,0.1299209641503637
Na,s3,8.4,Na,-935.2660752183882,-935.2660752183882,-907.7279550559159,0.0,27.538120162472257,2.3269287515072046,1.5254273996186134,0.17452562438656818,0.039070534543193626
Na,s3,9.9,Li,-2626.037680008869,-2626.037680008869,-2572.3197174807915,0.0,53.71796252807748,8.29642530201131,2.880351593471066,0.42999434064860875,0.036295602795418484
Na,s3,9.9,Na,-2638.180853237656,-2638.180853237656,-2608.583867538182,0.0,29.596985699473777,8.308630798200685,2.8824695658758803,0.31893831825892055,0.010942157904645498
