 &plot nbnd=  64, nks=    60 /
    0.819    0.904    1.176    1.437    1.508    1.520    1.889    1.978    1.979    2.442
    3.951    3.973    3.994    4.076    4.364    4.608    6.197    7.306    8.417    8.831
    9.144   10.668   11.215   11.784
            0.204545  0.118094  0.000000
  -93.522  -93.518  -93.516  -56.779  -56.775  -56.757  -56.755  -56.738  -56.732  -56.722
  -56.715  -56.713  -52.225  -24.142  -24.142  -24.103  -16.689  -15.376  -15.243  -15.165
  -15.079  -14.925   -3.451   -3.080   -2.931   -2.882   -2.847   -2.757   -2.610   -2.044
   -1.748   -1.327   -1.222   -1.095   -0.974   -0.111   -0.063   -0.003    0.087    0.797
    0.835    0.952    1.185    1.472    1.480    1.490    1.879    1.993    2.000    2.496
    3.953    3.975    3.993    4.114    4.293    4.585    6.259    7.036    8.320    8.858
    9.105   10.421   11.440   11.930
            0.227273  0.131216  0.000000
  -93.522  -93.518  -93.517  -56.780  -56.775  -56.755  -56.754  -56.739  -56.733  -56.721
  -56.715  -56.713  -52.225  -24.142  -24.142  -24.103  -16.654  -15.416  -15.249  -15.171
  -15.069  -14.927   -3.514   -3.070   -2.933   -2.871   -2.842   -2.724   -2.588   -2.008
   -1.644   -1.387   -1.245   -1.135   -0.973   -0.192   -0.065    0.004    0.074    0.846
    0.851    1.005    1.193    1.439    1.439    1.541    1.864    2.006    2.017    2.558
    3.957    3.976    3.988    4.156    4.221    4.560    6.327    6.770    8.229    8.820
    9.146   10.179   11.674   11.840
            0.250000  0.144338  0.000000
  -93.522  -93.518  -93.517  -56.781  -56.775  -56.754  -56.752  -56.741  -56.733  -56.721
  -56.715  -56.713  -52.225  -24.142  -24.142  -24.103  -16.616  -15.458  -15.255  -15.178
  -15.060  -14.929   -3.573   -3.051   -2.937   -2.894   -2.800   -2.689   -2.565   -1.979
   -1.546   -1.449   -1.260   -1.176   -0.965   -0.324   -0.079   -0.022    0.153    0.866
    0.896    1.062    1.199    1.399    1.408    1.588    1.845    2.017    2.030    2.629
    3.961    3.977    3.980    4.150    4.200    4.532    6.402    6.511    8.145    8.750
    9.235    9.943   11.756   11.912
            0.272727  0.157459  0.000000
  -93.521  -93.518  -93.517  -56.782  -56.775  -56.753  -56.751  -56.743  -56.734  -56.721
  -56.715  -56.713  -52.225  -24.142  -24.142  -24.103  -16.575  -15.502  -15.261  -15.185
  -15.051  -14.931   -3.628   -3.024   -2.943   -2.916   -2.755   -2.650   -2.541   -1.958
   -1.510   -1.461   -1.267   -1.219   -0.944   -0.456   -0.163    0.018    0.232    0.880
    0.943    1.122    1.203    1.359    1.380    1.633    1.822    2.025    2.037    2.710
    3.967    3.969    3.978    4.080    4.247    4.503    6.258    6.483    8.068    8.676
    9.344    9.713   11.679   11.854
            0.295455  0.170581  0.000000
  -93.521  -93.518  -93.517  -56.782  -56.774  -56.752  -56.750  -56.745  -56.734  -56.721
  -56.716  -56.713  -52.225  -24.142  -24.142  -24.103  -16.531  -15.550  -15.266  -15.191
  -15.042  -14.934   -3.679   -2.989   -2.950   -2.937   -2.707   -2.610   -2.516   -1.945
   -1.571   -1.393   -1.266   -1.262   -0.906   -0.587   -0.246    0.055    0.313    0.892
    0.986    1.182    1.207    1.320    1.357    1.675    1.795    2.031    2.038    2.800
    3.955    3.973    3.980    4.015    4.295    4.472    6.012    6.570    7.997    8.604
    9.465    9.491   11.608   11.776
            0.318182  0.183702  0.000000
  -93.521  -93.518  -93.517  -56.783  -56.773  -56.750  -56.749  -56.746  -56.735  -56.720
  -56.716  -56.713  -52.225  -24.142  -24.142  -24.103  -16.485  -15.599  -15.271  -15.198
  -15.033  -14.937   -3.726   -2.959   -2.954   -2.948   -2.658   -2.566   -2.492   -1.942
   -1.633   -1.346   -1.305   -1.256   -0.852   -0.716   -0.329    0.089    0.393    0.902
    1.023    1.210    1.238    1.282    1.345    1.714    1.765    2.034    2.034    2.899
    3.937    3.955    3.976    3.986    4.343    4.439    5.774    6.664    7.934    8.538
    9.276    9.594   11.544   11.705
            0.340909  0.196824  0.000000
  -93.521  -93.518  -93.517  -56.784  -56.772  -56.749  -56.748  -56.747  -56.736  -56.720
  -56.716  -56.713  -52.225  -24.142  -24.142  -24.103  -16.436  -15.651  -15.275  -15.204
  -15.024  -14.940   -3.767   -2.974   -2.966   -2.900   -2.608   -2.521   -2.467   -1.947
   -1.695   -1.346   -1.315   -1.239   -0.842   -0.784   -0.411    0.120    0.474    0.910
    1.052    1.212    1.246    1.269    1.362    1.734    1.751    2.023    2.034    3.006
    3.900    3.919    3.977    3.995    4.389    4.406    5.544    6.762    7.878    8.479
    9.070    9.730   11.487   11.641
            0.363636  0.209946  0.000000
  -93.521  -93.518  -93.517  -56.784  -56.771  -56.751  -56.748  -56.746  -56.736  -56.720
  -56.716  -56.713  -52.225  -24.142  -24.142  -24.103  -16.386  -15.705  -15.279  -15.210
