c,alpha,beta,d0_A,depth_eV,hw_eff_meV,gap02_meV
5.55,1.2831724286986994,0.8307502158569008,0.0,0.0,21.77601687808145,43.720644312256724
5.65,0.9939480521449164,0.822242486127929,0.0,0.0,19.23302522129243,38.67922404277671
5.75,0.7018144438119084,0.8255053578542391,0.0,0.0,16.28516012407243,32.86498642716411
5.85,0.43529296539846085,0.8197077805648626,0.0,0.0,13.060493468757596,26.560957651517043
5.95,0.24715385138093993,0.7651839035926308,0.0,0.0,10.215588124980863,21.063074525137697
6.05,0.03550913986702018,0.7426815931982326,0.0,0.0,5.954118489832936,13.240166123145883
6.15,-0.14675023219976518,0.7124386172945555,0.32092287535266806,0.007557012677269416,1.2555119395491638,6.604992862764402
6.25,-0.24561975671256922,0.6342318987649606,0.4400404600308758,0.023780365275311938,0.5090254906303016,11.31278219226963
6.35,-0.37829274927415796,0.5968251114591477,0.5629573152766645,0.05994444662504637,0.2975559626309451,15.635623218540042
6.45,-0.42023439540955937,0.5074061447797716,0.6435065012580521,0.08700966124576885,0.2253598957921137,16.7763253293222
6.528,-0.49763899146099394,0.4831283591767142,0.7176471051617281,0.12814636168549468,0.17993125527523718,18.467709620776375
6.605,-0.5589289865778463,0.45335070997361326,0.7851383096521588,0.17227369736286574,0.14970588637163032,19.701946069322794
6.683,-0.6085759049354806,0.42299221670716486,0.8481568830078251,0.21889565424583243,0.12793662252696683,20.646924199055672
6.761,-0.5976241194002001,0.36031314819919524,0.9106657547947249,0.24780846180182659,0.11080408320761015,20.509977208851225
6.839,-0.6322158430445267,0.33333503323578056,0.9738166811149769,0.29977112540236717,0.09674189578102867,21.148453995743054
6.917,-0.6605763496955981,0.3080744778750463,1.035425012724991,0.35410358948506215,0.08546636812599896,21.658879730737546
6.994,-0.6620212240006633,0.28318307550374255,1.0811533829329014,0.38691586727747806,0.0783375270313587,21.70469391989982
7.072,-0.6743520786694033,0.25699779029388514,1.1454170878583898,0.44236832297830575,0.06973467255086474,21.934413691203304
7.15,-0.6812872936457535,0.23250142955577333,1.2104234615715026,0.49908550817298575,0.06240214588829599,22.070351181661618
