c,alpha,beta,d0_A,depth_eV,hw_eff_meV,gap02_meV
4.715,1.451628577673885,0.47046972308083956,0.0,0.0,42.104207497991766,84.49037962461495
4.771,1.2886306584089573,0.543979158579284,0.0,0.0,39.77223417478961,79.90857693634743
4.826,1.127582800917828,0.6130692920663507,0.0,0.0,37.33289496211865,75.12872772717013
4.882,0.9695368291099798,0.6786392183928032,0.0,0.0,34.78479313904291,70.1544876030643
4.937,0.8196557325373124,0.7222418845058072,0.0,0.0,32.18186175680537,65.08232766657763
4.993,0.669625756700353,0.7849921098397391,0.0,0.0,29.39280247116226,59.70370376642632
5.049,0.5245272045917143,0.824231136976835,0.0,0.0,26.427862308000797,54.015560589060904
5.104,0.387414502878101,0.8618557050380182,0.0,0.0,23.342425796649387,48.174498820647294
5.16,0.25554890836696564,0.8871224058628976,0.0,0.0,20.010449645535267,41.968676146444395
5.215,0.32014350617546816,0.403604516279029,0.0,0.0,20.671556595344835,42.26967330455948
5.293,0.1649570884704631,0.4215310040772115,0.0,0.0,15.938957265812196,33.35119586989744
5.371,0.007065678861946693,0.44132880305504346,0.0,0.0,9.773672360259539,22.422454440835615
5.449,-0.14291317157464115,0.46237008773579996,0.39312101971610286,0.011043196322203085,3.0456670554143224,12.865907267186053
5.526,-0.2816952346972127,0.4748711570050513,0.5446115610553561,0.04177565013191234,1.1137719716819006,21.132648597066968
5.604,-0.409251354638892,0.4823148767606879,0.6513504778844957,0.0868139670492015,0.7452250351526504,28.94337795146482
5.682,-0.5249502113732447,0.483785722154752,0.7365759526610022,0.14240432892140256,0.5735395996045305,33.74084373783637
5.76,-0.6287227432403455,0.48030144322393836,0.8090169889946041,0.20575218617621463,0.47150707748117293,37.44427577689222
5.837,-0.7197831155545368,0.47071085079912445,0.8743971325412102,0.2751624126349752,0.4015956413306137,40.39683740975636
5.915,-0.802042734545611,0.46174610708194846,0.9319275170767354,0.34828260497020097,0.35237222689246456,42.87037745489203
